,image_path,au1,au2,au4,au6,au9,au12,au25,au26
49927,DISFA/aligned_images/SN002/01925.jpg,0,0,0,0,0,0,1,0
30213,DISFA/aligned_images/SN023/01156.jpg,0,0,0,0,0,0,1,0
85851,DISFA/aligned_images/SN032/03991.jpg,0,0,0,0,0,0,0,0
4025,DISFA/aligned_images/SN003/04026.jpg,0,0,0,0,0,0,0,1
26278,DISFA/aligned_images/SN017/02054.jpg,1,1,0,0,0,0,0,0
5399,DISFA/aligned_images/SN004/00555.jpg,0,0,0,0,0,0,1,0
85026,DISFA/aligned_images/SN032/03166.jpg,0,0,0,0,0,0,0,0
16731,DISFA/aligned_images/SN007/02197.jpg,0,0,0,0,0,0,0,0
48628,DISFA/aligned_images/SN002/00623.jpg,0,0,0,0,0,0,0,0
61855,DISFA/aligned_images/SN010/04219.jpg,0,0,0,0,0,0,0,0
81140,DISFA/aligned_images/SN030/04125.jpg,0,0,0,0,0,0,0,0
15750,DISFA/aligned_images/SN007/01216.jpg,0,0,0,0,0,0,0,0
67556,DISFA/aligned_images/SN026/00231.jpg,0,0,0,1,0,1,1,0
46279,DISFA/aligned_images/SN001/03119.jpg,0,0,0,0,0,0,0,0
28969,DISFA/aligned_images/SN017/04745.jpg,0,0,1,0,1,0,1,1
51337,DISFA/aligned_images/SN002/03335.jpg,0,0,0,0,0,0,0,0
37349,DISFA/aligned_images/SN025/03447.jpg,0,0,0,0,0,0,1,0
79959,DISFA/aligned_images/SN030/02944.jpg,0,0,0,0,0,0,0,0
72063,DISFA/aligned_images/SN026/04738.jpg,0,0,0,0,0,0,0,0
10429,DISFA/aligned_images/SN005/00740.jpg,0,0,0,0,0,0,0,0
8761,DISFA/aligned_images/SN004/03917.jpg,0,0,0,0,0,0,0,0
15606,DISFA/aligned_images/SN007/01072.jpg,0,0,0,1,0,1,0,0
47410,DISFA/aligned_images/SN001/04250.jpg,0,0,0,0,0,0,0,0
21950,DISFA/aligned_images/SN008/02571.jpg,0,0,0,0,0,0,0,0
33085,DISFA/aligned_images/SN023/04028.jpg,0,0,0,0,0,0,0,0
52485,DISFA/aligned_images/SN002/04483.jpg,0,0,0,0,0,0,0,0
55565,DISFA/aligned_images/SN009/02774.jpg,0,0,0,0,0,0,0,0
18604,DISFA/aligned_images/SN007/04070.jpg,0,0,0,0,0,0,0,0
40691,DISFA/aligned_images/SN029/01960.jpg,0,0,0,0,0,0,0,0
27202,DISFA/aligned_images/SN017/02978.jpg,0,0,0,0,0,0,0,0
28699,DISFA/aligned_images/SN017/04475.jpg,0,0,0,0,0,0,0,0
79301,DISFA/aligned_images/SN030/02286.jpg,0,0,0,0,0,0,0,0
73757,DISFA/aligned_images/SN027/01587.jpg,0,0,0,0,0,0,0,0
82441,DISFA/aligned_images/SN032/00581.jpg,0,0,0,0,0,0,1,0
46020,DISFA/aligned_images/SN001/02860.jpg,0,0,0,0,0,0,0,0
58827,DISFA/aligned_images/SN010/01191.jpg,0,0,0,0,0,0,1,0
76232,DISFA/aligned_images/SN027/04062.jpg,0,0,0,0,0,0,0,0
55319,DISFA/aligned_images/SN009/02528.jpg,0,0,0,0,0,0,0,0
34218,DISFA/aligned_images/SN025/00316.jpg,0,0,0,0,0,1,1,0
67169,DISFA/aligned_images/SN016/04689.jpg,1,1,0,0,0,0,0,0
34714,DISFA/aligned_images/SN025/00812.jpg,0,0,0,0,0,0,1,0
79485,DISFA/aligned_images/SN030/02470.jpg,0,0,0,0,0,0,0,0
